methods,count,module,date_added
.groupby,792,pandas,2020-09-03 22:46:09.138425+00:00
.loc,627,pandas,2020-09-03 22:46:09.138425+00:00
.apply,605,pandas,2020-09-03 22:46:09.138425+00:00
.columns,429,pandas,2020-09-03 22:46:09.138425+00:00
.index,422,pandas,2020-09-03 22:46:09.138425+00:00
.drop,328,pandas,2020-09-03 22:46:09.138425+00:00
.reset_index,324,pandas,2020-09-03 22:46:09.138425+00:00
.astype,275,pandas,2020-09-03 22:46:09.138425+00:00
.iloc,271,pandas,2020-09-03 22:46:09.138425+00:00
.to_datetime,257,pandas,2020-09-03 22:46:09.138425+00:00
.set_index,250,pandas,2020-09-03 22:46:09.138425+00:00
.append,246,pandas,2020-09-03 22:46:09.138425+00:00
.concat,236,pandas,2020-09-03 22:46:09.138425+00:00
.join,233,pandas,2020-09-03 22:46:09.138425+00:00
.sum,211,pandas,2020-09-03 22:46:09.138425+00:00
.values,209,pandas,2020-09-03 22:46:09.138425+00:00
.T,206,pandas,2020-09-03 22:46:09.138425+00:00
.read_csv,203,pandas,2020-09-03 22:46:09.138425+00:00
.where,200,pandas,2020-09-03 22:46:09.138425+00:00
.merge,194,pandas,2020-09-03 22:46:09.138425+00:00
.rename,182,pandas,2020-09-03 22:46:09.138425+00:00
.fillna,173,pandas,2020-09-03 22:46:09.138425+00:00
.map,160,pandas,2020-09-03 22:46:09.138425+00:00
.agg,156,pandas,2020-09-03 22:46:09.138425+00:00
.isin,154,pandas,2020-09-03 22:46:09.138425+00:00
.eq,150,pandas,2020-09-03 22:46:09.138425+00:00
.shift,145,pandas,2020-09-03 22:46:09.138425+00:00
.transform,141,pandas,2020-09-03 22:46:09.138425+00:00
.replace,141,pandas,2020-09-03 22:46:09.138425+00:00
.assign,136,pandas,2020-09-03 22:46:09.138425+00:00
.sort_values,126,pandas,2020-09-03 22:46:09.138425+00:00
.str.split,125,pandas,2020-09-03 22:46:09.138425+00:00
.get,117,pandas,2020-09-03 22:46:09.138425+00:00
.cumsum,102,pandas,2020-09-03 22:46:09.138425+00:00
.plot,101,pandas,2020-09-03 22:46:09.138425+00:00
.explode,100,pandas,2020-09-03 22:46:09.138425+00:00
.str.contains,94,pandas,2020-09-03 22:46:09.138425+00:00
.pivot,94,pandas,2020-09-03 22:46:09.138425+00:00
.mean,93,pandas,2020-09-03 22:46:09.138425+00:00
.date,92,pandas,2020-09-03 22:46:09.138425+00:00
.unique,91,pandas,2020-09-03 22:46:09.138425+00:00
.unstack,91,pandas,2020-09-03 22:46:09.138425+00:00
.ne,87,pandas,2020-09-03 22:46:09.138425+00:00
.array,86,pandas,2020-09-03 22:46:09.138425+00:00
.add,85,pandas,2020-09-03 22:46:09.138425+00:00
.reindex,83,pandas,2020-09-03 22:46:09.138425+00:00
.to_dict,78,pandas,2020-09-03 22:46:09.138425+00:00
.max,77,pandas,2020-09-03 22:46:09.138425+00:00
.str.replace,77,pandas,2020-09-03 22:46:09.138425+00:00
.value_counts,76,pandas,2020-09-03 22:46:09.138425+00:00
.items,76,pandas,2020-09-03 22:46:09.138425+00:00
.duplicated,76,pandas,2020-09-03 22:46:09.138425+00:00
.to_csv,75,pandas,2020-09-03 22:46:09.138425+00:00
.shape,74,pandas,2020-09-03 22:46:09.138425+00:00
.to_numpy,74,pandas,2020-09-03 22:46:09.138425+00:00
.cumcount,73,pandas,2020-09-03 22:46:09.138425+00:00
.rolling,73,pandas,2020-09-03 22:46:09.138425+00:00
.stack,71,pandas,2020-09-03 22:46:09.138425+00:00
.head,68,pandas,2020-09-03 22:46:09.138425+00:00
.sub,66,pandas,2020-09-03 22:46:09.138425+00:00
.isna,63,pandas,2020-09-03 22:46:09.138425+00:00
.min,62,pandas,2020-09-03 22:46:09.138425+00:00
.date_range,61,pandas,2020-09-03 22:46:09.138425+00:00
.str.extract,53,pandas,2020-09-03 22:46:09.138425+00:00
.sort_index,51,pandas,2020-09-03 22:46:09.138425+00:00
.name,50,pandas,2020-09-03 22:46:09.138425+00:00
.mask,48,pandas,2020-09-03 22:46:09.138425+00:00
.size,46,pandas,2020-09-03 22:46:09.138425+00:00
.all,46,pandas,2020-09-03 22:46:09.138425+00:00
.diff,45,pandas,2020-09-03 22:46:09.138425+00:00
