methods,count,module,date_added
.loc,697,pandas,2020-09-03 22:45:36.104841+00:00
.get,459,pandas,2020-09-03 22:45:36.104841+00:00
.index,440,pandas,2020-09-03 22:45:36.104841+00:00
.append,440,pandas,2020-09-03 22:45:36.104841+00:00
.apply,438,pandas,2020-09-03 22:45:36.104841+00:00
.read_csv,419,pandas,2020-09-03 22:45:36.104841+00:00
.iloc,400,pandas,2020-09-03 22:45:36.104841+00:00
.groupby,381,pandas,2020-09-03 22:45:36.104841+00:00
.columns,321,pandas,2020-09-03 22:45:36.104841+00:00
.T,248,pandas,2020-09-03 22:45:36.104841+00:00
.drop,226,pandas,2020-09-03 22:45:36.104841+00:00
.values,213,pandas,2020-09-03 22:45:36.104841+00:00
.head,186,pandas,2020-09-03 22:45:36.104841+00:00
.astype,185,pandas,2020-09-03 22:45:36.104841+00:00
.to_datetime,179,pandas,2020-09-03 22:45:36.104841+00:00
.plot,178,pandas,2020-09-03 22:45:36.104841+00:00
.sum,173,pandas,2020-09-03 22:45:36.104841+00:00
.reset_index,146,pandas,2020-09-03 22:45:36.104841+00:00
.concat,140,pandas,2020-09-03 22:45:36.104841+00:00
.array,134,pandas,2020-09-03 22:45:36.104841+00:00
.date,127,pandas,2020-09-03 22:45:36.104841+00:00
.to_csv,125,pandas,2020-09-03 22:45:36.104841+00:00
.shape,124,pandas,2020-09-03 22:45:36.104841+00:00
.replace,123,pandas,2020-09-03 22:45:36.104841+00:00
.add,121,pandas,2020-09-03 22:45:36.104841+00:00
.read_excel,112,pandas,2020-09-03 22:45:36.104841+00:00
.mean,111,pandas,2020-09-03 22:45:36.104841+00:00
.agg,105,pandas,2020-09-03 22:45:36.104841+00:00
.isin,101,pandas,2020-09-03 22:45:36.104841+00:00
.set_index,98,pandas,2020-09-03 22:45:36.104841+00:00
.max,97,pandas,2020-09-03 22:45:36.104841+00:00
.sort_values,92,pandas,2020-09-03 22:45:36.104841+00:00
.merge,90,pandas,2020-09-03 22:45:36.104841+00:00
.sub,90,pandas,2020-09-03 22:45:36.104841+00:00
.where,89,pandas,2020-09-03 22:45:36.104841+00:00
.time,87,pandas,2020-09-03 22:45:36.104841+00:00
.unique,86,pandas,2020-09-03 22:45:36.104841+00:00
.str.contains,86,pandas,2020-09-03 22:45:36.104841+00:00
.name,83,pandas,2020-09-03 22:45:36.104841+00:00
.join,82,pandas,2020-09-03 22:45:36.104841+00:00
.at,79,pandas,2020-09-03 22:45:36.104841+00:00
.fillna,75,pandas,2020-09-03 22:45:36.104841+00:00
.value_counts,75,pandas,2020-09-03 22:45:36.104841+00:00
.map,72,pandas,2020-09-03 22:45:36.104841+00:00
.rolling,69,pandas,2020-09-03 22:45:36.104841+00:00
.rename,67,pandas,2020-09-03 22:45:36.104841+00:00
.iterrows,62,pandas,2020-09-03 22:45:36.104841+00:00
.min,61,pandas,2020-09-03 22:45:36.104841+00:00
.isnull,59,pandas,2020-09-03 22:45:36.104841+00:00
.to_excel,59,pandas,2020-09-03 22:45:36.104841+00:00
.count,56,pandas,2020-09-03 22:45:36.104841+00:00
.pivot,55,pandas,2020-09-03 22:45:36.104841+00:00
.ne,53,pandas,2020-09-03 22:45:36.104841+00:00
.insert,51,pandas,2020-09-03 22:45:36.104841+00:00
.str.split,50,pandas,2020-09-03 22:45:36.104841+00:00
.items,50,pandas,2020-09-03 22:45:36.104841+00:00
.dtype,49,pandas,2020-09-03 22:45:36.104841+00:00
.le,49,pandas,2020-09-03 22:45:36.104841+00:00
.copy,46,pandas,2020-09-03 22:45:36.104841+00:00
.transform,45,pandas,2020-09-03 22:45:36.104841+00:00
.stack,44,pandas,2020-09-03 22:45:36.104841+00:00
.resample,43,pandas,2020-09-03 22:45:36.104841+00:00
.to_dict,41,pandas,2020-09-03 22:45:36.104841+00:00
.item,40,pandas,2020-09-03 22:45:36.104841+00:00
.mod,40,pandas,2020-09-03 22:45:36.104841+00:00
.empty,40,pandas,2020-09-03 22:45:36.104841+00:00
.str.replace,39,pandas,2020-09-03 22:45:36.104841+00:00
.date_range,37,pandas,2020-09-03 22:45:36.104841+00:00
.from_dict,37,pandas,2020-09-03 22:45:36.104841+00:00
.shift,35,pandas,2020-09-03 22:45:36.104841+00:00
.isna,35,pandas,2020-09-03 22:45:36.104841+00:00
.any,35,pandas,2020-09-03 22:45:36.104841+00:00
.ExcelWriter,34,pandas,2020-09-03 22:45:36.104841+00:00
.query,33,pandas,2020-09-03 22:45:36.104841+00:00
.now,32,pandas,2020-09-03 22:45:36.104841+00:00
